rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐẠI TÁ NGÔ TIẾN SỸ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I9,,I,9,ĐẠI TÁ,NGÔ TIẾN SỸ,ĐẠI TÁ | NGÔ TIẾN SỸ | NGUYÊN CHỦ NHIỆM | HẬU CẦN QUÂN KHU
ĐẠI TÁ ĐẶNG VĂN MAU,NGUYÊN PHÓ CN KỸ THUẬT QUÂN KHU,I11,,I,11,ĐẠI TÁ,ĐẶNG VĂN MAU,ĐẠI TÁ | ĐẶNG VĂN MAU | NGUYÊN PHÓ CN | KỸ THUẬT QUÂN KHU
ĐẠI TÁ NGUYỄN NGỌC BÂNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,I13,,I,13,ĐẠI TÁ,NGUYỄN NGỌC BÂNG,ĐẠI TÁ | NGUYỄN NGỌC BÂNG | NGUYÊN CHỦ NHIỆM | KỸ THUẬT QUÂN KHU
ĐẠI TÁ DƯƠNG CÔNG TRI,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,I15,,I,15,ĐẠI TÁ,DƯƠNG CÔNG TRI,ĐẠI TÁ | DƯƠNG CÔNG TRI | NGUYÊN PHÓ CN | HẬU CẦN QUÂN KHU
ĐẠI TÁ VÕ HOÀI NAM,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I17,,I,17,ĐẠI TÁ,VÕ HOÀI NAM,ĐẠI TÁ | VÕ HOÀI NAM | NGUYÊN CHỦ NHIỆM | HẬU CẦN QUÂN KHU
ĐẠI TÁ NGÔ TẤN NHẤT,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,I19,,I,19,ĐẠI TÁ,NGÔ TẤN NHẤT,ĐẠI TÁ | NGÔ TẤN NHẤT | NGUYÊN CHÍNH ỦY | CỤC HẬU CẦN QK
SƯ ĐOÀN TRƯỞNG SƯ ĐOÀN BB315,,J20,,J,20,SƯ ĐOÀN TRƯỞNG,SƯ ĐOÀN BB315,SƯ ĐOÀN TRƯỞNG | SƯ ĐOÀN BB315
SƯ ĐOÀN TRƯỞNG SƯ ĐOÀN BB2,,J18,,J,18,SƯ ĐOÀN TRƯỞNG,SƯ ĐOÀN BB2,SƯ ĐOÀN TRƯỞNG | SƯ ĐOÀN BB2
CHỈ HUY TRƯỞNG BCHQS T. K. HÒA,,J16,,J,16,CHỈ HUY TRƯỞNG,BCHQS T. K. HÒA,CHỈ HUY TRƯỞNG | BCHQS T. K. HÒA
CHÍNH ỦY BCHQS T. ĐĂK LĂK,,J14,,J,14,CHÍNH ỦY,BCHQS T. ĐĂK LĂK,CHÍNH ỦY | BCHQS T. ĐĂK LĂK
CHỈ HUY TRƯỞNG BCHQS TỈNH GIA LAI,,J12,,J,12,CHỈ HUY TRƯỞNG,BCHQS TỈNH GIA LAI,CHỈ HUY TRƯỞNG | BCHQS TỈNH GIA LAI
CHỈ HUY TRƯỞNG BCHQS TỈNH Q. NGÃI,,J10,,J,10,CHỈ HUY TRƯỞNG,BCHQS TỈNH Q. NGÃI,CHỈ HUY TRƯỞNG | BCHQS TỈNH Q. NGÃI
CHÍNH ỦY BCHQS TP. ĐÀ NẴNG,,J8,,J,8,CHÍNH ỦY,BCHQS TP. ĐÀ NẴNG,CHÍNH ỦY | BCHQS TP. ĐÀ NẴNG
ĐẠI BIỂU TẬP ĐOÀN VIETTEL,ĐÀ NẴNG,J6,,J,6,ĐẠI BIỂU,TẬP ĐOÀN VIETTEL,ĐẠI BIỂU | TẬP ĐOÀN VIETTEL | ĐÀ NẴNG
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TRUYỀN HÌNH,VIỆT NAM VTV8,J4,,J,4,ĐẠI BIỂU LÃNH ĐẠO,ĐÀI TRUYỀN HÌNH,ĐẠI BIỂU LÃNH ĐẠO | ĐÀI TRUYỀN HÌNH | VIỆT NAM VTV8
ĐẠI BIỂU LÃNH ĐẠO TRUNG TÂM,PT - TH QUÂN ĐỘI,J2,,J,2,ĐẠI BIỂU LÃNH ĐẠO,TRUNG TÂM,ĐẠI BIỂU LÃNH ĐẠO | TRUNG TÂM | PT - TH | QUÂN ĐỘI
